trade_date,start_close,natural_days_to_5pct_high_low_move,breach_date,breach_side,breach_high,breach_low,upper_bound,lower_bound
2017-03-24,8602.29,26,2017-04-18,down,8247.05,8133.05,9032.40,8172.18
2017-03-27,8586.91,23,2017-04-18,down,8247.05,8133.05,9016.26,8157.56
2017-03-28,8558.07,23,2017-04-19,down,8101.80,7939.29,8985.97,8130.17
2017-03-29,8488.22,22,2017-04-19,down,8101.80,7939.29,8912.63,8063.81
2017-03-30,8315.05,26,2017-04-24,down,7921.42,7698.10,8730.80,7899.30
2017-03-31,8339.15,25,2017-04-24,down,7921.42,7698.10,8756.11,7922.19
2017-04-05,8522.01,15,2017-04-19,down,8101.80,7939.29,8948.11,8095.91
2017-04-06,8543.66,14,2017-04-19,down,8101.80,7939.29,8970.84,8116.48
2017-04-07,8544.75,13,2017-04-19,down,8101.80,7939.29,8971.99,8117.51
2017-04-10,8449.16,10,2017-04-19,down,8101.80,7939.29,8871.62,8026.70
2017-04-11,8514.44,9,2017-04-19,down,8101.80,7939.29,8940.16,8088.72
2017-04-12,8444.39,8,2017-04-19,down,8101.80,7939.29,8866.61,8022.17
2017-04-13,8470.31,7,2017-04-19,down,8101.80,7939.29,8893.83,8046.79
2017-04-14,8345.65,7,2017-04-20,down,8059.11,7925.30,8762.93,7928.37
2017-04-17,8220.66,8,2017-04-24,down,7921.42,7698.10,8631.69,7809.63
2017-04-18,8136.41,7,2017-04-24,down,7921.42,7698.10,8543.23,7729.59
2017-04-19,8033.50,9,2017-04-27,down,7810.11,7593.02,8435.18,7631.82
2017-04-20,7987.65,19,2017-05-08,down,7691.48,7555.06,8387.03,7588.27
2017-04-21,7945.39,19,2017-05-09,down,7603.36,7475.41,8342.66,7548.12
2017-04-24,7698.28,18,2017-05-11,down,7408.11,7199.41,8083.19,7313.37
2017-04-25,7724.00,17,2017-05-11,down,7408.11,7199.41,8110.20,7337.80
2017-04-26,7751.94,16,2017-05-11,down,7408.11,7199.41,8139.54,7364.34
2017-04-27,7799.12,15,2017-05-11,down,7408.11,7199.41,8189.08,7409.16
2017-04-28,7842.08,14,2017-05-11,down,7408.11,7199.41,8234.18,7449.98
2017-05-02,7845.47,9,2017-05-10,down,7637.64,7451.36,8237.74,7453.20
2017-05-03,7830.64,9,2017-05-11,down,7408.11,7199.41,8222.17,7439.11
2017-05-04,7804.58,8,2017-05-11,down,7408.11,7199.41,8194.81,7414.35
2017-05-05,7700.26,7,2017-05-11,down,7408.11,7199.41,8085.27,7315.25
2017-05-08,7555.28,16,2017-05-23,down,7359.78,7132.31,7933.04,7177.52
2017-05-09,7602.96,3,2017-05-11,down,7408.11,7199.41,7983.11,7222.81
2017-05-10,7451.78,15,2017-05-24,down,7172.66,6996.64,7824.37,7079.19
2017-05-11,7387.15,14,2017-05-24,down,7172.66,6996.64,7756.51,7017.79
2017-05-12,7371.30,13,2017-05-24,down,7172.66,6996.64,7739.87,7002.73
2017-05-15,7391.61,10,2017-05-24,down,7172.66,6996.64,7761.19,7022.03
2017-05-16,7549.76,8,2017-05-23,down,7359.78,7132.31,7927.25,7172.27
2017-05-17,7570.44,7,2017-05-23,down,7359.78,7132.31,7948.96,7191.92
2017-05-18,7519.19,6,2017-05-23,down,7359.78,7132.31,7895.15,7143.23
2017-05-19,7510.11,5,2017-05-23,down,7359.78,7132.31,7885.62,7134.60
2017-05-22,7372.79,3,2017-05-24,down,7172.66,6996.64,7741.43,7004.15
2017-05-23,7138.24,29,2017-06-20,up,7542.13,7495.72,7495.15,6781.33
2017-05-24,7172.14,28,2017-06-20,up,7542.13,7495.72,7530.75,6813.53
2017-05-25,7232.63,43,2017-07-06,up,7613.26,7543.34,7594.26,6871.00
2017-05-26,7233.34,42,2017-07-06,up,7613.26,7543.34,7595.01,6871.67
2017-05-31,7212.70,36,2017-07-05,up,7588.12,7510.53,7573.34,6852.06
2017-06-01,7016.30,8,2017-06-08,up,7374.86,7327.07,7367.12,6665.48
2017-06-02,7094.43,14,2017-06-15,up,7468.21,7348.42,7449.15,6739.71
2017-06-05,7160.53,16,2017-06-20,up,7542.13,7495.72,7518.56,6802.50
2017-06-06,7197.62,30,2017-07-05,up,7588.12,7510.53,7557.50,6837.74
2017-06-07,7347.60,87,2017-09-01,up,7740.29,7674.20,7714.98,6980.22
2017-06-08,7342.48,86,2017-09-01,up,7740.29,7674.20,7709.60,6975.36
2017-06-09,7348.52,85,2017-09-01,up,7740.29,7674.20,7715.95,6981.09
2017-06-12,7246.71,25,2017-07-06,up,7613.26,7543.34,7609.05,6884.37
2017-06-13,7352.98,81,2017-09-01,up,7740.29,7674.20,7720.63,6985.33
2017-06-14,7362.86,35,2017-07-18,down,7109.94,6988.52,7731.00,6994.72
