trade_date,open,high,low,close
2024-08-21,691.13,698.52,689.38,691.64
2024-08-22,692.19,695.48,683.88,685.53
2024-08-23,683.59,688.33,676.23,685.76
2024-08-26,684.77,688.92,679.61,682.50
2024-08-27,679.75,679.75,672.46,674.35
2024-08-28,672.97,675.11,669.13,671.22
2024-08-29,667.88,683.33,666.41,679.59
2024-08-30,678.61,700.03,677.54,694.16
2024-09-02,693.67,694.42,670.01,670.01
2024-09-03,670.06,681.48,670.06,674.96
2024-09-04,668.93,679.17,666.90,672.28
2024-09-05,673.00,680.79,668.46,671.26
2024-09-06,672.62,673.97,662.34,662.34
2024-09-09,659.50,665.67,652.93,654.94
2024-09-10,656.04,663.83,648.62,660.01
2024-09-11,657.39,665.77,656.82,664.33
2024-09-12,666.22,671.87,658.67,658.85
2024-09-13,658.98,662.89,650.70,655.05
2024-09-18,654.51,654.51,641.91,647.41
2024-09-19,649.73,658.36,642.79,651.47
2024-09-20,651.82,654.16,642.60,648.36
2024-09-23,649.00,654.24,643.04,643.04
2024-09-24,648.13,667.27,640.35,667.05
2024-09-25,673.18,684.43,667.07,667.34
2024-09-26,667.55,693.46,663.16,693.15
2024-09-27,704.52,742.96,704.29,740.02
2024-09-30,782.31,872.37,776.45,872.37
2024-10-08,1045.05,1045.05,972.34,1023.97
2024-10-09,993.78,1084.68,958.46,997.85
2024-10-10,1014.36,1016.57,940.09,954.17
2024-10-11,939.57,946.52,889.11,898.90
2024-10-14,904.14,931.81,873.52,925.96
2024-10-15,920.99,942.25,898.83,898.83
2024-10-16,874.27,896.31,872.16,875.69
2024-10-17,897.20,901.12,878.74,879.10
2024-10-18,879.95,1008.07,876.68,978.66
2024-10-21,999.54,1063.85,977.88,1000.37
2024-10-22,988.70,1002.96,969.86,985.83
2024-10-23,976.25,1003.96,971.69,979.15
2024-10-24,968.99,988.04,968.49,977.60
2024-10-25,981.41,1016.08,974.48,991.22
2024-10-28,988.43,991.13,976.52,986.56
2024-10-29,988.50,1006.86,975.03,975.37
2024-10-30,967.84,976.40,949.33,958.82
2024-10-31,960.68,978.18,947.58,969.45
2024-11-01,960.21,967.84,939.76,939.76
2024-11-04,938.19,955.90,937.97,954.67
2024-11-05,954.14,997.89,950.39,996.17
2024-11-06,1002.06,1017.12,986.43,998.09
